"question";"answer"
"Nama teknologi yang memungkinkan pengguna untuk menyimpan, mengatur, dan mengelola kriptografi kunci, sering digunakan untuk menyediakan otentikasi dan enkripsi dalam aplikasi?";"Key Management System (KMS) "
"Hasil konversi bilangan biner 1011 ke bilangan Gray adalah?";"1110"
"Protokol untuk distribusi alamat IP pada jaringan dengan jumlah alamat IP yang terbatas dinamakan ";"Dynamic Host Configuration Protocol (DHCP)."
"Komponen hardware yang berfungsi menerima daya dari stopkontak listrik dan mengonversi arus dari AC (arus bolak-balik) ke DC (arus searah) yang dibutuhkan oleh komputer adalah";"Power Supply Unit"
"Tentukan nilai f(1,0,1) untuk fungsi boolean f(x,y,z) = x′y′z+x′yz′+xy !";"1"
"Tentukan dual dari fungsi boolean f(x,y,z) = xy′z + x′y + xyz !";"f(x,y,z)′ = (x′ + y + z′) (x + y′ + z) (x′ + y′ + z′)  "
"Fitur dalam PowerPoint yang digunakan untuk membuat teks dengan berbagai variasi artistik disebut ";"Word Art "
"Apa shortcut/pintasan keyboard pada microsoft word yang berfungsi untuk memasukkan tanggal saat ini?";"Alt + Shift + D "
"<img src=""static/soalGambar/soal1rebutan.png"" />";"<img src=""static/soalGambar/jawabanrebutan1.png""/>"
"representasi bilangan desimal 45.625 dalam format biner adalah";"101101.101"
