id;question;answer
a1;Cabang pembelajaran machine learning yang bekerja dengan jaringan saraf tiruan yang dalam, yang dirancang untuk meniru cara manusia berpikir dan belajar adalah…;Deep Learning
a2;Teknik pengaman data yang dilakukan dengan cara memfilter arus komunikasi yang masuk dan keluar dikenal dengan istilah…;Firewall
a3;START pseudocode<br><br>SET n = 5<br>SET fibonacci1 = 0<br>SET fibonacci2 = 1<br><br>DISPLAY fibonacci1<br><br>FOR i = 2 TO n<br>SET fibonacci = fibonacci1 + fibonacci2<br>DISPLAY fibonacci<br>SET fibonacci1 = fibonacci2<br>SET fibonacci2 = fibonacci<br>ENDFOR<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;0, 1, 1, 2, 3 
a4;Sembilan titik terletak pada bidang datar sehingga tidak ada tiga titik yang segaris. Banyak segitiga yang dapat dibuat dengan titik-titik sudut dari titik-titik tersebut adalah...;84 cara
a5;Perintah pada linux yang digunakan untuk mengubah hak akses atau izin baca, tulis dan eksekusi pada suatu file adalah?;chmod
b1;Teknologi yang menggabungkan benda maya dua dimensi dan ataupun tiga dimensi ke dalam sebuah lingkungan nyata lalu memproyeksikan benda-benda maya tersebut secara realistis ke dunia nyata secara real-time disebut…;Augmented Reality (AR)
b2;Program yang berfungsi untuk memonitor jaringan dan menangkap paket data yang melewati jaringan disebut…;Sniffer
b3;START pseudocode<br><br>SET n = 10<br>SET sum = 0<br><br>FOR i = 1 TO n<br>IF i % 2 == 0 THEN<br>SET sum = sum + i<br>ENDIF<br>ENDFOR<br><br>DISPLAY sum<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;30 
b4;Terdapat 5 calon pengurus HIMA, dari kelima calon tersebut akan dipilih untuk menduduki posisi Ketua, Sekretaris, dan Bendahara HIMA. Banyaknya cara untuk menyusun pengurus HIMA adalah?;10
b5;Perintah pada linux selain wget yang digunakan untuk mengunduh file dari internet melalui protokol HTTP, HTTPS, dan FTP adalah?;curl 
c1;Metode penyampaian berbagai layanan seperti penyimpanan data, server, database, jaringan, dan perangkat lunak melalui internet disebut…;Cloud Computing atau Komputasi Awan
