"question";"answer"
"Kemampuan sistem operasi untuk menjalankan beberapa proses atau tugas secara bersamaan, memungkinkan penggunaan sumber daya komputer yang lebih efisien dikenal dengan nama?";"Multi-tasking"
"Sistem operasi yang berbasis teks adalah?";"CLI (Command Line Interface)"
"Simbol C dalam heksadesimal mewakili angka ?";"12"
"Jenis topologi yang memiliki node tengah sebagai pusat penghubung dari suatu jaringan adalah topologi";"Topologi Star"
"Otak dari komputer yang mengolah instruksi dan menjalankan perintah adalah";"CPU"
"Dalam suatu kelompok siswa terdapat 8 siswa yang suka bermain musik dan 12 siswa yang suka menyanyi. Jika banyak keseluruhan siswa ada 14 orang, maka banyak siswa yang menyukai keduanya adalah";" 6 siswa"
"Fungsi fitur Filter di Microsoft Excel adalah untuk";"Memfilter data"
"Apa yang dimaksud dengan 'conditional statement' dalam pseudocode?";"Perintah untuk membuat keputusan berdasarkan kondis"
"ketika proses instalasi GNU Linux, suatu harddisk harus dipartisi dan kemudian dikaitkan dengan suatu nama (mount point). Mount point yang harus selalu ada ketika instalasi GNU Linux adalah";"/ (root)"
"Sensor pada rel kereta mencatat kecepatan kereta dalam format biner 111000. Ubah nilai ini ke format desimal untuk mengetahui apakah kecepatan kereta melebihi 55 km/h, batas kecepatan maksimum di jalur tersebut.";"111000 (Biner) = 56 (Desimal) Kecepatan kereta ini melebihi batas kecepatan maksimum."
"Perangkat lunak yang melindungi komputer dari malware adalah";"Antivirus"
"Apa yang menjadi jantung dari sebuah jaringan komputer, yang menyediakan berbagai layanan seperti berbagi file, mencetak, dan akses internet?";"Server (peladen)"
"Diketahui bilangan oktal 116(8). Jika di konversi ke desimal, nilainya adalah?";"78(10)"
"Perangkat lunak yang menawarkan versi percobaan gratis dengan fitur terbatas, kemudian meminta pembayaran untuk versi lengkapnya disebut";"Shareware"
"Direktori yang akan isinya selalu di-reset dari awal ketika komputer dihidupkan atau di-reboot pada sistem operasi GNU Linux adalah direktori?";"/tmp"
"Ada 7 huruf, yaitu 3 huruf A, 2 huruf B, dan 2 huruf C. Berapa banyak susunan huruf yang dapat dibentuk?";" 210 susunan huruf yang dapat dibentuk."
"Shortcut untuk menyeleksi seluruh teks di Microsoft Word adalah";"CTRL+A"
"Jenis serangan keamanan siber yang paling umum?";"Malware"
"Protokol untuk transfer data di World Wide Web yang lebih aman dari HTTP adalah";"HTTPS"
"Tempat penyimpanan data jangka panjang untuk komputer, seperti dokumen, gambar, musik, dan video adalah";"Hard Drive"
"MBR merupakan singkatan dari?";"Master Boot Record"
"Apa singkatan dari VLAN dalam jaringan komputer";"Virtual Local Area Network"
"Perangkat lunak yang dapat digunakan secara gratis tetapi biasanya tidak boleh dimodifikasi atau didistribusikan ulang adalah";"Freeware"
"<img src=""static/soalGambar/soal1penyisihan3.png"" />";"9"
"Ketika ingin mencetak dokumen dengan printer, namun perangkat printer tidak terdeteksi, maka hal apa yang harus diinstal supaya printer terdeteksi?";"Driver Printer"
"Sistem bilangan Hindu-Arab adalah nama lain dari sistem bilangan?";"desimal"
"Kepanjangan dari TCP adalah";"Transmision Control Protocol"
"Untuk membuat dokumen terlihat rata di tepi kanan dan kiri dalam Microsoft Word, fitur yang digunakan adalah";"Justify"
"<img src=""static/soalGambar/soal2penyisihan3.png"" />";"10"
"Manfaat internet dalam bidang pemerintahan disebut dengan";"e-Goverment"
"Papan utama yang menghubungkan semua komponen komputer, termasuk CPU, RAM, dan perangkat lainnya adalah";"Motherboard"
"Pada suatu acara makan siang kerajaan yang dihadiri oleh 8 orang, para tamu makan dengan posisi duduk melingkar. Banyaknya susunan yang bisa dibuat saat mereka duduk adalah";"5040"
"Fitur apa yang digunakan untuk membuat grafik di Microsoft Excel?";"Chart"
"Dalam penelitian yang dilakukan pada sekelompok orang, dipeoleh data 68 orang sarapan dengan nasi, 50 orang sarapan dengan roti, dan 8 orang sarapan nasi dan roti, sedangkan 35 orang sarapannya tidak dengan nasi ataupun roti. Hitung banyaknya orang dalam kelompok tersebut!";"145 orang"
"Apa yang dimaksud dengan “procedure” dalam pseudocode?";" “Procedure” adalah kumpulan langkah-langkah yang bisa dipanggil untuk melakukan tugas tertentu. Misalnya, “Procedure HitungJumlah” bisa digunakan untuk menjumlahkan angka."
"Kepanjangan dari SSD adalah…";"Solid State Drive"
