"question_id";"question";"answer"
"a1";"Ketika Setup selesai dijalankan, berarti proses instalasi sistem operasi telah selesai dan sudah bisa dioperasikan. Namun terkadang tampilannya masih kasar dan sound card belum berfungsi. Ketika Sound card, VGA card, printer, Network/internet Card  penggunannya belum bisa optimal, maka apa yang perlu diinstall?";"driver"
"a2";"Dalam suatu penelitian 45 ibu-ibu terhadap dua produk sabun, yaitu sabun A dan sabun B. Sebanyak 30 orang menggunakan sabun A, 25 orang menggunakan sabun B, dan 2 orang tidak menggunakan kedua sabun tersebut. Banyak orang yang hanya menggunakan sabun A adalah";"18 orang"
"a3";"Perangkat lunak manajemen database relasional yang dikembangkan oleh Microsoft yang digunakan untuk membuat, menyimpan, dan mengelola data dalam bentuk tabel, kueri, formulir, laporan, dan modul adalah";"Microsoft Access"
"a4";"Layanan komputasi yang disediakan melalui internet, termasuk penyimpanan data, server, dan aplikasi adalah";"Cloud computing"
"a5";"Diketahui bilangan heksadesimal 3D4(16)  berapakah hasil konversi ke bilangan desimal?";"980(10)"
"a6";"Peta harta karun menunjukkan koordinat dalam format oktal 725. Anda perlu mengubah koordinat ini ke format desimal untuk menemukan lokasi yang tepat. Berapa koordinatnya dalam format desimal";"469"
"b1";"<img src=""static/soalgambar/soal1semifinal1.png"" />";"Pseudocode ini tidak bekerja dengan benar untuk n = 0 karena loop while tidak akan dieksekusi, sehingga count tetap 0"
"b2";"YAST merupakan program manajemen paket untuk ?";"openSUSE"
"b3";"Jika f(x) = 3x + 2 dan g(x) = 4x² . Maka (f o g)(x) dan (g o f)(x) adalah";"(f o g)(x) = 12x² + 2, (g o f)(x) = 36x² + 48x + 16"
"b4";"Pimpinan unit yang bertanggung jawab atas keseluruhan proses berlangsungnya pekerjaan komputer, yang merupakan pejabat eselon tertinggi di bidang IT adalah";"CIO (Chief Information Officer)"
"b5";"Perangkat lunak yang memungkinkan menjalankan sistem operasi dan aplikasi dalam lingkungan terisolasi di atas sistem operasi utama adalah";"Virtual machine"
"b6";"Saluran komunikasi yang digunakan untuk mentransfer data antara komponen-komponen pada motherboard adalah";"BUS"
"c1";"Struktur data apa yang paling cocok untuk menyimpan data yang sering diubah dan diakses secara acak?";"Array"
"c2";"Seorang karyawan di supermarket terkenal ingin membuat pembeli lebih tertib dan tidak menyerobot antrian di kasir. Ia akan menyusun nomor antre yang terdiri dari tiga angka. Apabila nomor antrian tersebut tidak memiliki angka yang sama yang dibentuk dari angka 0, 1, 2, 3, maka ada berapa banyak cara pilihan nomor antrian yang dapat dibuat karyawan tersebut?";"24"
"c3";"Untuk mengetahui apakah komputer dalam jaringan sudah terhubung dengan komputer lain digunakan perintah";"Ping"
"c4";"Fitur apa di Microsoft Excel yang memungkinkan Anda mengisi sel dengan urutan angka atau tanggal secara otomatis?";"Autofill"
"c5";"Apa firmware yang menginisialisasi perangkat keras saat komputer dinyalakan dan menyediakan antarmuka untuk sistem operasi?";"BIOS"
"c6";"<img src=""static/soalgambar/soal4semifinal1.png"" />";"[4, 2, 12, 4, 20]"
"d1";"Diketahui bilangan heksadesimal DEA(16) berapakah hasil konversi ke bilangan desimal?";"3562(10)"
"d2";"Sebuah sensor kecepatan di jalan tol mencatat kecepatan kendaraan dalam format biner 101110. Jika batas kecepatan di jalan tersebut adalah 50 km/h, apakah kendaraan ini melanggar batas kecepatan? Ubah nilai biner tersebut ke format desimal untuk menentukan jawabannya.";"101110 (Biner) = 46 (Desimal) Kendaraan ini tidak melanggar batas kecepatan"
"d3";"Suatu kejadian dimana dua atau lebih proses tidak dapat melanjutkan proses eksekusi karena masing-masing proses masih menunggu sumber daya yang sedang digunakan oleh proses lain adalah…";"Deadlock"
"d4";"Model referensi jaringan yang terdiri dari 7 lapisan adalah";"OSI"
"d5";"Topologi jaringan dimana masing-masing simpul ditautkan hanya ke satu simpul lainnya adalah";"Topologi Bus"
"d6";"Fungsi di Microsoft Excel yang digunakan untuk menjumlahkan sel-sel yang sesuai dengan kriteria tertentu disebut";"COUNTIF"
"e1";"Apa nama sistem operasi open-source yang terkenal dan banyak digunakan pada server serta desktop, yang memiliki berbagai distribusi seperti Ubuntu dan Fedora?";"Linux"
"e2";"Sebuah jaringan yang menghubungkan komputer satu dengan komputer lain untuk berbagi sumber daya";"peer to peer"
"e3";"<img src=""static/soalgambar/soal2semifinal1.png"" />";"FOR j = i+1 TO n DO"
"e4";"Layanan penyimpanan cloud dari Microsoft yang memungkinkan pengguna untuk mengedit dan berbagi dokumen secara real-time adalah";"OneDrive"
"e5";"Fokus pada tampilan visual dan elemen interaktif dari produk, seperti layout, tombol, warna, dan tipografi disebut?";"User Interface (UI)"
"e6";"Distro Linux yang dikembangkan oleh Yayasan Penggerak Linux Indonesia mulai dari tahun 2004 bernama ?";"Blank On"
"f1";"<img src=""static/soalgambar/soal3semifinal1.png"" />";"Keluaran dari pseudocode adalah: 1 2 3 4 5 6 7 8 9"
"f2";"Variasi dari sistem operasi linux biasa disebut dengan ?";"distro/ distribusi linux"
"f3";"“WPKNC DG UVTQPI” adalah Ciphertext dari";"UNILA BE STRONG"
"f4";"Apa istilah yang digunakan untuk menyebut perangkat keras yang menghubungkan beberapa jaringan dan bertanggung jawab untuk mengelola lalu lintas data di antara mereka?";"Router"
"f5";"Dalam turnamen catur, Anda mencetak skor 111001 dalam sistem biner, sementara lawan Anda mencetak skor 110111. berapa selisihnya dalam desimal?";"2"
"f6";"Di Microsoft Outlook, pesan dengan lampiran (attachment) di folder Inbox diberi tanda";"Paperclip"
