question_id;question;answer
a1;Hasil konversi bilangan biner 10100111(2)  ke dalam bentuk heksadesimal yaitu?;A7(16)
a2;Formula pada Microsoft Excel untuk mengkonversi teks menjadi huruf kecil adalah?;LOWER
a3;Hasil konversi bilangan biner 00100011(2)  ke dalam bentuk oktal yaitu?;43(8)
a4;Hasil konversi bilangan heksadesimal 11(16) ke dalam bentuk desimal yaitu?;17(10)
a5;Jenis jaringan yang mencakup area geografis pada seluruh kota atau daerah perkotaan, yang merupakan gabungan dari beberapa jaringan LAN disebut?;Metropolitan Area Network (MAN)
a6;Shortcut pada Microsoft Word yang digunakan untuk meratakan teks ke tengah adalah?;CTRL + E
b1;START pseudocode<br><br>SET a = 7<br>SET b = 4<br>SET c = a % b<br>DISPLAY c<br><br>END pseudocode<br>Apakah output dari pseudocode di atas?;3 
b2;Cabang ilmu komputer yang mempelajari cara membuat sistem komputer yang dapat berpikir, belajar, memecahkan masalah, dan mengerjakan suatu hal layaknya manusia adalah?;Artificial Intelligence atau Kecerdasan Buatan
b3;Bagian dari CPU yang berfungsi untuk menangani masalah perhitungan aritmatika dan logika adalah?;ALU
b4;Formula pada Microsoft Excel yang digunakan untuk menghitung karakter di dalam cell adalah?;LEN
b5;START PSEUDOCODE<br><br>SET angka = 6<br>SET kuadrat = angka*angka<br><br>IF kuadrat > 30 THEN<br>SET kuadrat = kuadrat - 10<br>ELSE<br>SET kuadrat = kuadrat + 5<br>ENDIF<br><br>DISPLAY kuadrat<br><br>END PSEUDOCODE<br>Apakah output dari pseudocode diatas?;26
b6;Apa kepanjangan dari GUI dalam sistem komputer?;Graphical User Interface
c1;<img class='d-flex' src='static/soalgambar/soal4.png'>;8
c2;Tentukan hasil perhitungan dari 44 mod 3!;2
c3;START PSEUDOCODE<br><br>SET a = 8<br>SET b = 3<br>SET min =  b<br><br>IF a < min THEN<br>SET min = a<br>ENDIF<br><br>DISPLAY min<br><br>END PSEUDOCODE<br>Apakah output dari pseudocode diatas?;3
c4;Sebuah perangkat yang menggunakan Protokol Internet (IP) untuk mengirim paket IP yang berisi data dan alamat IP perangkat pengirim dan tujuan yang terletak di jaringan area lokal terpisah adalah…;Router
c5;Dengan menggunakan permutasi berulang, banyak cara penyusunan kata SUCCESS adalah?;420
c6;Tag HTML yang digunakan untuk membuat paragraf pada halaman web adalah?;<p>
d1;<img class='d-flex' src='static/soalgambar/soal3.png'>;14
d2;Jenis sistem bilangan yang menggunakan 8 digit atau menggunakan basis 8 untuk pembuatan nomornya adalah…;Oktal
d3;Tentukan KPK dari 12, 16 dan 24!;48
d4;Teknologi yang digunakan pada komputer generasi kedua menggantikan tabung vakum adalah?;Transistor
d5;Shortcut pada Microsoft Word yang digunakan untuk memotong teks yang sedang dipilih?;CTRL + X
d6;Tag HTML yang digunakan untuk menggaris bawahi teks adalah?;<u>
e1;Berapa banyak subhimpunan yang dapat dibentuk dari himpunan {W, X, Y, Z}?;2^4 = 16
e2;DEKLARASI<br><br>p 	: real<br>l 	: real<br>hasil	: real<br><br>DESKRIPSI<br>read(p)<br>read(l)<br>hasil ← p*l<br>write(hasil)<br>Jika input yang diberikan pada program tersebut adalah 7 dan 9, maka output yang akan dihasilkan adalah?;63
e3;Sebuah perangkat lunak bawaan Windows yang memungkinkan pengguna untuk melihat, mengukur, memonitoring proses atau program yang berjalan di komputer adalah…;Task Manager
e4;Lapisan pada OSI Layer yang berfungsi untuk memecah data ke dalam paket-paket data serta memberikan nomor urut ke paket-paket tersebut sehingga dapat disusun kembali pada sisi tujuan setelah diterima adalah?;Transport Layer
e5;Pada Microsoft Word menu yang digunakan untuk mengatur tampilan dokumen seperti zoom, mode dua halaman, tampilan markup dan lainnya ialah…;View
e6;Tools pada Corel Draw yang berfungsi untuk meluruskan atau menghaluskan garis maupun sketsa yang  dibuat adalah…;Smooth Tool
f1;Perintah yang digunakan di linux untuk melihat lokasi folder di mana Anda berada saat ini adalah…;pwd
f2;Sistem operasi berbasis GUI yang dikembangkan oleh perusahaan Microsoft adalah?;Windows
f3;Perintah yang digunakan di linux untuk mencari sebuah string atau teks tertentu di dalam sebuah file adalah…;grep
f4;Jenis topologi yang merupakan hasil penggabungan dari topologi bus dan topologi star yang memiliki hierarki atau tingkatan jaringan di dalamnya disebut dengan?;Topologi Tree atau Topologi Pohon
f5;Dalam ekstensi video dikenal dengan istilah AVI. Apa kepanjangan dari AVI tersebut?;Audio Video Interleave
f6;Bahasa pemrograman yang merupakan perkembangan dari bahasa pemrograman C/C++ digunakan untuk mengembangkan bagian back-end dari software, aplikasi Android, dan website yakni?;Java
